scenario,run #,output dollar year,target station capacity (kg/day),target number of stations,one-way delivery distance (mile),electricity cost ($/kWh),diesel cost ($/gallon),electricity emission factor (kg CO2/kWh),diesel emission factor (kg CO2/gallon),hydrogen prod. emission factor (kg CO2-eq/kg),formic acid prod. emission factor (kg CO2-eq/kg),hydrogen purchase cost ($/kg),formic acid purchase cost ($/kg),formic acid production pathway,hydr. reaction temperature (K),hydr. reaction pressure (bar),hydr. reaction yield,hydr. reactor volume (m^3),number of hydr. reactors,hydr. catalyst amount (kg),hydr. catalyst cost ($/kg),hydr. catalyst lifetime (yr),hydr. reactor energy (unit TBD),hydr. separator energy (unit TBD),CO2 electrolyzer purchase cost ($/m^2),terminal formic acid storage amount (days),terminal compressed hydrogen storage amount (days),terminal liquid hydrogen storage amount (days),dehydr. reaction temperature (K),dehydr. reaction pressure (bar),dehydr. reaction yield,dehydr. reactor volume (m^3),number of dehydr. reactors,dehydr. catalyst amount (kg),dehydr. catalyst cost ($/kg),dehydr. catalyst lifetime (yr),dehydr. reactor energy (unit TBD),dehydr. gas/liquid separator energy (unit TBD),station formic acid storage amount (days)
baseline,0,2022,1000,10,100,0.1709,6.028,0.228,10.18,0,0,0.31,0,electro,366.15,105,1,1,1,53,5450,1,0,0,5250,0.25,0.25,1,300,1,0.9999,0.0731028611028611,1,9.64671203342243,3500,1,0,0,1
delivery only,1,2022,1000,10,100,0.1709,6.028,0.0,10.18,0,0,0.0,0,purchase,366.15,105,1,1,1,53,5450,1,0,0,5250,0.25,0.25,1,300,1,0.9999,0.0731028611028611,1,9.64671203342243,3500,1,0,0,1
closed loop,2,2022,1000,10,100,0.1709,6.028,0.0,10.18,0,0,0.31,0,electro,366.15,105,1,1,1,53,5450,1,0,0,5250,0.25,0.25,1,300,1,0.9999,0.0731028611028611,1,9.64671203342243,3500,1,0,0,1
cloosed loop - 10 mi,3,2022,1000,10,10,0.1709,6.028,0.0,10.18,0,0,0.31,0,electro,366.15,105,1,1,1,53,5450,1,0,0,5250,0.25,0.25,1,300,1,0.9999,0.0731028611028611,1,9.64671203342243,3500,1,0,0,1
cloosed loop - 50 mi,4,2022,1000,10,50,0.1709,6.028,0.0,10.18,0,0,0.31,0,electro,366.15,105,1,1,1,53,5450,1,0,0,5250,0.25,0.25,1,300,1,0.9999,0.0731028611028611,1,9.64671203342243,3500,1,0,0,1
cloosed loop - 100 mi,5,2022,1000,10,100,0.1709,6.028,0.0,10.18,0,0,0.31,0,electro,366.15,105,1,1,1,53,5450,1,0,0,5250,0.25,0.25,1,300,1,0.9999,0.0731028611028611,1,9.64671203342243,3500,1,0,0,1
cloosed loop - 150 mi,6,2022,1000,10,150,0.1709,6.028,0.0,10.18,0,0,0.31,0,electro,366.15,105,1,1,1,53,5450,1,0,0,5250,0.25,0.25,1,300,1,0.9999,0.0731028611028611,1,9.64671203342243,3500,1,0,0,1
cloosed loop - 200 mi,7,2022,1000,10,200,0.1709,6.028,0.0,10.18,0,0,0.31,0,electro,366.15,105,1,1,1,53,5450,1,0,0,5250,0.25,0.25,1,300,1,0.9999,0.0731028611028611,1,9.64671203342243,3500,1,0,0,1
cloosed loop - 250 mi,8,2022,1000,10,250,0.1709,6.028,0.0,10.18,0,0,0.31,0,electro,366.15,105,1,1,1,53,5450,1,0,0,5250,0.25,0.25,1,300,1,0.9999,0.0731028611028611,1,9.64671203342243,3500,1,0,0,1
cloosed loop - 300 mi,9,2022,1000,10,300,0.1709,6.028,0.0,10.18,0,0,0.31,0,electro,366.15,105,1,1,1,53,5450,1,0,0,5250,0.25,0.25,1,300,1,0.9999,0.0731028611028611,1,9.64671203342243,3500,1,0,0,1
cloosed loop - 350 mi,10,2022,1000,10,350,0.1709,6.028,0.0,10.18,0,0,0.31,0,electro,366.15,105,1,1,1,53,5450,1,0,0,5250,0.25,0.25,1,300,1,0.9999,0.0731028611028611,1,9.64671203342243,3500,1,0,0,1
cloosed loop - 400 mi,11,2022,1000,10,400,0.1709,6.028,0.0,10.18,0,0,0.31,0,electro,366.15,105,1,1,1,53,5450,1,0,0,5250,0.25,0.25,1,300,1,0.9999,0.0731028611028611,1,9.64671203342243,3500,1,0,0,1
cloosed loop - 450 mi,12,2022,1000,10,450,0.1709,6.028,0.0,10.18,0,0,0.31,0,electro,366.15,105,1,1,1,53,5450,1,0,0,5250,0.25,0.25,1,300,1,0.9999,0.0731028611028611,1,9.64671203342243,3500,1,0,0,1
cloosed loop - 500 mi,13,2022,1000,10,500,0.1709,6.028,0.0,10.18,0,0,0.31,0,electro,366.15,105,1,1,1,53,5450,1,0,0,5250,0.25,0.25,1,300,1,0.9999,0.0731028611028611,1,9.64671203342243,3500,1,0,0,1
